電影,#genre#
功夫巨作,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=3637765
科幻夢工廠,http://121.51.249.99/txdirect.hls.huya.com/src/94525224-2682536056-11521404630860824576-3512313440-10057-A-0-1-imgplus.m3u8
網神影廳,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=508118
新三國斗魚,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=276200
新三國虎牙,http://121.51.249.99/txdirect.hls.huya.com/src/1423787831-1423787831-6115122170587774976-2847699118-10057-A-0-1-imgplus.m3u8#http://121.51.14.14/txdirect.hls.huya.com/src/1423787831-1423787831-6115122170587774976-2847699118-10057-A-0-1-imgplus.m3u8#http://api.phoves.com.cn/iptv/huya.php?id=11352944#http://59.45.88.18:1005/huya.php?id=11352944
水滸傳,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=6785471
水滸傳另版,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb05.php?id=shz
貝貝軍旅科幻動作,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=431460
影視點播,http://106.53.212.251/daili/bili.php?id=829238
實拍笑場,http://tyzb2021.chxjon.cn/iptv-cdn/公眾號=太陽視界/tyzb11.php?id=9348469
金馬影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
科幻大片,http://121.51.249.99/txdirect.hls.huya.com/src/1423782061-1423782061-6115097388626477056-2847687578-10057-A-0-1.m3u8#http://api.phoves.com.cn/iptv/huya.php?id=11352895#http://59.45.88.18:1005/huya.php?id=11352895

說電影,#genre#
$c_start🍌說電影🍌$c_end
扁豆看電影,http://tx.flv.huya.com/src/94525224-2703099090-11609722189397360640-4587890396-10057-A-0-1.flv?wsSecret=0d2eca87a2190dadb8aa3451f3c15303&wsTime=610d26c7&uid=0&seqid=16281654438975670&ctype=tars_mobile&ver=1&t=103
科幻夢工場,http://tx.flv.huya.com/src/94525224-2682536056-11521404630860824576-3512313440-10057-A-0-1-imgplus.flv?wsSecret=13788d6d13ba22e8c4fc12680c93ee5d&wsTime=610d26e5&uid=0&seqid=16281654468630692&ctype=tars_mobile&ver=1&t=103
電影最TOP,http://txdirect.flv.huya.com/src/94525224-2672048638-11476361513531342848-3153216706-10057-A-0-1.flv?wsSecret=c34dc31341749275e33bdb3a634e114f&wsTime=610d26e5&uid=0&seqid=16281654472914392&ctype=tars_mobile&ver=1&t=103
小丑講電影,http://txdirect.flv.huya.com/src/1199511997436-1199511997436-5223203582290952192-2399024118328-10057-A-0-1.flv?wsSecret=7e81bcaf4d9f389e24822ed040e1b74a&wsTime=610d26ea&uid=0&seqid=16281654517326724&ctype=tars_mobile&ver=1&t=103
低調新說,http://txdirect.flv.huya.com/huyalive/1199527050394-1199527050394-5287855544609013760-2399054224244-10057-A-0-1.flv?wsSecret=0cee990c48c8fc698b1b1f1c68a8f042&wsTime=610d26e4&uid=0&seqid=16281654537244680&ctype=tars_mobile&ver=1&t=103
音樂小石榴,http://txdirect.flv.huya.com/huyalive/1199512344405-1199512344405-5224693802798678016-2399024812266-10057-A-0-1.flv?wsSecret=50592edcc633d1f15a601ab5efa419d5&wsTime=610d26ed&uid=0&seqid=16281654549405726&ctype=tars_mobile&ver=1&t=103
今晚80后脫口秀,http://txdirect.flv.huya.com/huyalive/1423787862-1423787862-6115122303731761152-2847699180-10057-A-0-1.flv?wsSecret=0bfcffdf91dfec3607339385074f69ba&wsTime=610d26ea&uid=0&seqid=16281654551738326&ctype=tars_mobile&ver=1&t=103
科幻五分鐘,http://api.phoves.com.cn/iptv/huya.php?id=kh1905
電影最TOP,http://api.phoves.com.cn/iptv/huya.php?id=topfilm
探索,#genre#
$c_start🍌探索🍌$c_end
BBC Earth,p8p://fccs.123178.top:9906/6044049e000eb7a609a4da5fcd30cc43.ts#p5p://fccs.123178.top:9906/6044049e000eb7a609a4da5fcd30cc43.ts
國家地理,p8p://fccs.123178.top:9906/6043485f000c065106c583978afda437.ts#p5p://fccs.123178.top:9906/6043485f000c065106c583978afda437.ts
國家野生,p8p://fccs.123178.top:9906/604401050005fe790996ca7b4ed24991.ts#p5p://fccs.123178.top:9906/604401050005fe790996ca7b4ed24991.ts
國興衛視,p8p://fccs.123178.top:9906/6044d406000399b302ef1ad77f59ca13.ts#p5p://fccs.123178.top:9906/6044d406000399b302ef1ad77f59ca13.ts
動物星球,p8p://fccs.123178.top:9906/60440362000e75bc09a007eeaa0519c7.ts#p5p://fccs.123178.top:9906/60440362000e75bc09a007eeaa0519c7.ts
探索频道,p8p://fccs.123178.top:9906/610b440f00018f2d04303511f19e7e5a.ts#p5p://fccs.123178.top:9906/610b440f00018f2d04303511f19e7e5a.ts
Earth View,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/spaceviewearth.m3u8
緯來日本,rtmp://59.124.75.136:1935/sat/tv771#rtmp://161.202.204.248:1935/sat/tv771
緯來日本,http://50.7.61.147:30080/Entry/vljp
亞洲旅游,http://58.99.33.16:1935/liveedge17/live_172_3.stream/chunklist.m3u8
亞洲旅遊,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=litv-longturn17
亞洲旅遊,https://flv3948069e.live.126.net/live/sytv_f3330b2dee8467591a5ddec3fe773939.flv
亞旅衛視,https://jc-qlive-play.jingchangkan.cn/live/3473_200508855_xR9m.m3u8
Discovery,http://125.227.210.37:10388/VideoInput/play.ts
探索亞洲,https://www.livedoomovie.com/02_DiscoveryHDWorld/chunklist.m3u8
Animal Planet,http://50.7.161.82:8278/streams/d/AnimalPlanet/playlist.m3u8
國家地理,http://125.227.210.37:16408/VideoInput/play.ts
Outdoor,p8p://fccs.123178.top:9906/604402870001f71c099cad43e96233b3.ts#p5p://fccs.123178.top:9906/604402870001f71c099cad43e96233b3.ts
Outdoor,p8p://fccs.123178.top:9906/612b2de2000a5ad7193ec497cb88e49e.ts#p5p://fccs.123178.top:9906/612b2de2000a5ad7193ec497cb88e49e.ts
NHK,http://58.99.33.16:1935/liveedge17/live_108_3.stream/chunklist.m3u8
TLC旅游,http://125.227.210.37:19020/VideoInput/play.ts
TLC旅游,http://50.7.61.147:30080/Entry/tlc
民視旅游,http://seb.sason.top/ptv/ftv.php?id=ly
視納華仁紀實頻道,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv013
達文西頻道,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv018
CLASSICA 古典樂,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv059
Mezzo Live HD,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv083
民視旅遊台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=litv-ftv07
民視旅遊台,http://v3948069e.live.126.net/live/dyjmdzws81670834/32.flv
mediacorp,http://v3948069e.live.126.net/live/xyptvspr68769369/56.flv
旅遊,http://v3948069e.live.126.net/live/xmsilufu41943081/25.flv
NasaSpace,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/nasaearthview.m3u8
BBC WN,http://125.227.210.37:10246/VideoInput/play.ts
CNN,http://125.227.210.37:10797/VideoInput/play.ts
YTNHD,http://125.227.210.37:8932/VideoInput/play.ts
NHKworldHD,http://125.227.210.37:8931/VideoInput/play.ts
arirang HD,http://125.227.210.37:8933/VideoInput/play.ts
DWHD,http://125.227.210.37:8934/VideoInput/play.ts
TV5MONDE HD,http://125.227.210.37:8937/VideoInput/play.ts
RT HD,http://125.227.210.37:8936/VideoInput/play.ts
ALJAZEERA HD,http://125.227.210.37:8938/VideoInput/play.ts
NHK BS1HD,http://125.227.210.37:8939/VideoInput/play.ts
NHK BSPHD,http://125.227.210.37:8940/VideoInput/play.ts
歡笑劇場4K,http://39.134.39.38/PLTV/88888888/224/3221226203/index.m3u8
FOX-FS1,http://stream.fs1.tv:8080/hls/webstream.m3u8
NBA HD,https://www.livedoomovie.com/02_nbahd_720p/chunklist.m3u8
時尚頻道,http://juyunlive.juyun.tv/live/24950198.m3u8
高清時尚,http://95.67.47.115/hls/hdfashion_ua_hi/index.m3u8
法國FHF,http://v3plusinfo247hls-i.akamaihd.net/hls/live/218877-b/v3plusinfo247hls/v3plusinfo247hls_1_1.m3u8
NHK World,https://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/global/2003458/live.m3u8
新聞,#genre#
$c_start🍌新聞🍌$c_end
TVBS新聞,http://50.7.61.148:30080/Entry/tvbsnews
TVBS新聞,http://125.227.210.37:16329/VideoInput/play.ts
TVBS新聞,http://43.128.9.168/jjtv.php?id=42
TVBS新聞,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv072
TVBS新聞,http://v3948069e.live.126.net/live/eyisbshx78425035/46.flv
TVBS新聞,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/tvbsnews.m3u8
TVBS新聞,https://raw.githubusercontent.com/LiuYi0526/IPTV/YTlive/tvbsnews.m3u8
TVBS新聞,rtmp://59.124.75.136/sat/tv551#rtmp://161.202.204.248/sat/tv551
台視財經,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv056
台視新聞,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv051
台視新聞,http://seb.sason.top/sc/tsxw_fhd.m3u8
台視新聞,http://v3948069e.live.126.net/live/ugdbeaya63838689/38.flv
台視新聞,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/ttvnews.m3u8
中視新聞,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv074
中視新聞,http://seb.sason.top/sc/zsxw_fhd.m3u8
中視新聞,http://v3948069e.live.126.net/live/dscspbkh98253248/37.flv
華視新聞,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv052
華視新聞,http://seb.sason.top/sc/hsxw_fhd.m3u8
華視新聞,http://185.207.176.189:8080/channels/tw-503/playlist.m3u8
華視新聞,http://v3948069e.live.126.net/live/faynljtw39421227/45.flv
華視新聞,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/ctsnews.m3u8
民視新聞,http://50.7.61.148:30080/Entry/ftvnews
民視新聞,http://210.61.56.23/hls/ftvtv/index.m3u8
民視新聞,http://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8
民視新聞,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=litv-ftv13
民視新聞,http://seb.sason.top/sc/msxw_fhd.m3u8
民視新聞,http://seb.sason.top/sc/msxw_fhd.m3u8#http://210.61.56.23/hls/ftvtv/index.m3u8
民視新聞,http://v3948069e.live.126.net/live/cmcfizof46736198/36.flv
民視新聞,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/ftvnews.m3u8
東森新聞,http://seb.sason.top/sc/dsxw_fhd.m3u8
東森新聞,http://v3948069e.live.126.net/live/chljmwfc26030164/42.flv
東森新聞,http://www.hrpan.tk/hls/bg_dsxw.m3u8
東森新聞,http://www.hrpan.tk/hls/tl_dsxw.m3u8
非凡新聞,http://125.227.210.37:15078/VideoInput/play.ts
非凡新聞,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv010
非凡新聞,http://v3948069e.live.126.net/live/fvyokqzp68633443/49.flv
寰宇新聞,http://58.99.33.16:1935/liveedge17/live_163_3.stream/chunklist.m3u8	
寰宇新聞,http://seb.sason.top/sc/hyxw.m3u8#http://58.99.33.16:1935/liveedge17/live_163_3.stream/chunklist.m3u8
寰宇新聞,http://www.hrpan.tk/hls/bg_hyxw.m3u8
寰宇新聞,http://www.hrpan.tk/hls/tl_hyxw.m3u8
寰宇新聞,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/hyxw.m3u8
寰宇新聞,https://raw.githubusercontent.com/LiuYi0526/IPTV/YTlive/hyxw.m3u8
寰宇新聞,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=litv-longturn14
寰宇新聞,http://v3948069e.live.126.net/live/paevmpzc60020136/39.flv
寰宇新聞,https://git.io/JgkpO
寰宇新聞二台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=litv-longturn15
年代新聞,http://125.227.210.37:11055/VideoInput/play.ts
三立iiNews,https://git.io/Jgkxj
三立iNews,http://seb.sason.top/sc/slinews_fhd.m3u8
三立inews,http://v3948069e.live.126.net/live/syiygqgw23248264/47.flv
三立iNews,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/setinews.m3u8
三立Live新聞,http://125.227.210.37:15589/VideoInput/play.ts#http://seb.sason.top/sc/sllive_fhd.m3u8
三立Live新聞,http://seb.sason.top/sc/sllive_fhd.m3u8
三立LIVE新聞,http://www.hrpan.tk/hls/sllive.m3u8
三立LIVE新聞,https://git.io/Jgkxp
三立LIVE新聞,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/setlive.m3u8
三立新聞台,http://v3948069e.live.126.net/live/tizinjzv54935020/48.flv
壹新聞,http://50.7.61.147:30080/Entry/etv
壹新聞,http://stream.nexttv.com.tw/n001/playlist.m3u8#http://stream.nexttv.com.tw/n001/hd/live.m3u8
壹新聞,http://v3948069e.live.126.net/live/xtxndaws57833801/50.flv
中天新聞,http://seb.sason.top/sc/ztxw_fhd.m3u8
中天新聞,http://v3948069e.live.126.net/live/myewtdtq55241913/40.flv
中天新聞,http://www.hrpan.tk/hls/bg_ztxw.m3u8
中天新聞,http://www.hrpan.tk/hls/tl_ztxw.m3u8
中天新聞,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/ctinews.m3u8
中天新聞台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv009
東森財經新聞,http://seb.sason.top/sc/dscjxw_fhd.m3u8#rtmp://59.124.75.136:1935/sat/tv571
東森財經新聞,http://v3948069e.live.126.net/live/xttzgmzd89254972/43.flv
東森財經新聞,rtmp://59.124.75.136:1935/sat/tv571
半島國際新聞台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=litv-ftv10
無線財經台,http://v3948069e.live.126.net/live/scypfjyv66589621/7.flv
無線新聞台,http://v3948069e.live.126.net/live/hod900.flv
BBC WORLD NEWS,http://v3948069e.live.126.net/live/cakbruve46655165/51.flv
CNN,http://v3948069e.live.126.net/live/vhyiolar25209544/54.flv
亞洲新聞,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
半島新聞,http://125.227.210.37:8938/VideoInput/play.ts
BBCworld HD,http://125.227.210.37:10246/VideoInput/play.ts
CNBC,http://125.227.210.37:16415/VideoInput/play.ts
CNN HD,http://125.227.210.37:10677/VideoInput/play.ts
EuroNews,https://rakuten-euronews-4-es.samsung.wurl.com/manifest/playlist.m3u8
NEWS,http://125.227.210.37:18184/VideoInput/play.ts
NHKBS1,http://125.227.210.37:8939/VideoInput/play.ts
NHKBSP,http://125.227.210.37:8940/VideoInput/play.ts
台灣,#genre#
$c_start🍌台灣🍌$c_end
華視,http://185.207.176.189:8080/channels/tw-501/playlist.m3u8
華視,http://50.7.61.147:30080/Entry/cts
華視,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv041
華視,http://v3948069e.live.126.net/live/oegwzwfo66564651/34.flv
華視,rtmp://59.124.75.136/sat/tv111#rtmp://161.202.204.248:1935/sat/tv111
華視教育,http://185.207.176.189:8080/channels/tw-502/playlist.m3u8
中視,http://50.7.61.148:30080/Entry/ctv
中視,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv040
中視,http://v3948069e.live.126.net/live/jofjyybj15016894/33.flv
中視,rtmp://59.124.75.136/sat/tv091#rtmp://161.202.204.248:1935/sat/tv091
中視經典,http://185.207.176.189:8080/channels/tw-102/playlist.m3u8
中視精采,http://185.207.176.189:8080/channels/tw-103/playlist.m3u8
公視,http://lyht.qcytv.top/qq3254461197.php?id=3
公視,https://flv3948069e.live.126.net/live/sytv_9dd30b5c8e846938c26dde70be773545.flv
公視,https://raw.githubusercontent.com/LiuYi0526/IPTV/YTlive/PTS.m3u8
公視三台,https://flv3948069e.live.126.net/live/sytv_f8630b6a5e8461aca04dde1d5e773c81.flv
公視三台,https://git.io/JgkxM
公視三台,https://git.io/JVFGN#https://git.io/JVFBr
公視台語台,https://flv3948069e.live.126.net/live/sytv_b2c30b53ae84670a8b8dde5c2e7733db.flv
公視戲劇,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv042
台視,http://50.7.61.148:30080/Entry/ttv
台視,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv066
台視,rtmp://59.124.75.136/sat/tv071#rtmp://161.202.204.248:1935/sat/tv071
台視綜合台,https://flv3948069e.live.126.net/live/sytv_a3230bb77e846899c6cdded52e7732f3.flv
民視,http://50.7.61.147:30080/Entry/ftv
民視,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv002
民視,http://seb.sason.top/ptv/ftv.php?id=ms#rtmp://59.124.75.136/sat/tv052#rtmp://59.124.75.136:1935/sat/tv051
民視,http://v3948069e.live.126.net/live/nteimwyu30134860/28.flv
民視第一,http://seb.sason.top/ptv/ftv.php?id=dy
民視第一台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv003
民視第一台,http://v3948069e.live.126.net/live/epreliwi80996113/29.flv
民視第一台,https://4gtvfreemobile-mozai.4gtv.tv/BS0hPFwEmjNJQjj2oFSy1Z-XQ9JgkjaDBtZQBS7S6B4%3d/stream2.m3u8?token=25j77IK5TofuZcj-JuUCMQ&expires=1632735955&token1=vu3xx42dEIv86AGcv0C74g&expires1=1632764755&refer=ZGQ2ZmNkZTMtYzQyMS00NTYzLTg5MTgtM2RhMjBhZmFhM2Rj&y=0
民視台灣,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv001
民視台灣,http://seb.sason.top/ptv/ftv.php?id=tw
民視台灣,http://v3948069e.live.126.net/live/htdndniz25866884/30.flv
民視影劇,http://seb.sason.top/ptv/ftv.php?id=yj
民視影劇台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=litv-ftv09
民視綜藝,http://seb.sason.top/ptv/ftv.php?id=zy
民視綜藝台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv004
民視綜藝台,http://v3948069e.live.126.net/live/lsvtdgwt69296670/31.flv
HakkaTV,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv043
JET綜合,http://50.7.61.147:30080/Entry/jet
JET綜合,http://v3948069e.live.126.net/live/wakudnpz00430412/57.flv
MUCH TV,https://flv3948069e.live.126.net/live/sytv_29d30bed1e8460f70a0dde412e7737ff.flv
TVBS,http://50.7.61.148:30080/Entry/tvbs
TVBS,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv073
TVBS,http://v3948069e.live.126.net/live/olqudmbl26461676/44.flv
TVBS,http://www.hrpan.tk/hls/tvbspd.m3u8
TVBS,https://flv3948069e.live.126.net/live/sytv_85730bcb7e84661a2eedde3abe773272.flv
TVBS,https://raw.githubusercontent.com/StanleyChen0924/Myself/YTlive/TVBS.m3u8
TVBS歡樂,https://flv3948069e.live.126.net/live/sytv_5c430bd95e846e7f3abdde9c6e773f7e.flv
TVBS歡樂,rtmp://59.124.75.136/sat/tv422#rtmp://59.124.75.136/sat/tv421#rtmp://59.124.75.136:1935/sat/tv421
TVBS精采,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv067
TVBS精采,https://flv3948069e.live.126.net/live/sytv_dec30b33be84692c439dde4fee773703.flv
愛爾達娛樂台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv070
八大精彩台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv034
八大綜合,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv039
采昌影劇台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv049
東風衛視,http://lyht.qcytv.top/qq3254461197.php?id=25
東森超視,rtmp://59.124.75.136/sat/tv522#rtmp://59.124.75.136:1935/sat/tv521#rtmp://59.124.75.136/sat/tv771
東森戲劇,http://125.227.210.37:17524/VideoInput/play.ts
非凡商業,http://50.7.61.147:30080/Entry/ubnbus
韓國娛樂台 KMTV,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv016
韓國娛樂台,http://93.190.139.36:8278/streams/d/chcaction/playlist.m3u8
靖天國際台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv063
靖天歡樂台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv054
靖天卡通台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv044
靖天日本台,http://hstv:hstv2021@tw.hstv.pro/litv/litvts.php?id=4gtv-4gtv047
